date,name,unit,OT
2022-04-14 10:00:00,YC0052,m5Max,135
2022-04-14 10:15:00,YC0052,m5Max,141
2022-04-14 10:30:00,YC0052,m5Max,147
2022-04-14 10:45:00,YC0052,m5Max,161
2022-04-14 11:00:00,YC0052,m5Max,158
2022-04-14 11:15:00,YC0052,m5Max,157
2022-04-14 11:30:00,YC0052,m5Max,153
2022-04-14 11:45:00,YC0052,m5Max,138
2022-04-14 12:00:00,YC0052,m5Max,138
2022-04-14 12:15:00,YC0052,m5Max,147
2022-04-14 12:30:00,YC0052,m5Max,146
2022-04-14 12:45:00,YC0052,m5Max,144
2022-04-14 13:00:00,YC0052,m5Max,135
2022-04-14 13:15:00,YC0052,m5Max,136
2022-04-14 13:30:00,YC0052,m5Max,134
2022-04-14 13:45:00,YC0052,m5Max,133
2022-04-14 14:00:00,YC0052,m5Max,136
2022-04-14 14:15:00,YC0052,m5Max,135
2022-04-14 14:30:00,YC0052,m5Max,137
2022-04-14 14:45:00,YC0052,m5Max,139
2022-04-14 15:00:00,YC0052,m5Max,140
2022-04-14 15:15:00,YC0052,m5Max,140
2022-04-14 15:30:00,YC0052,m5Max,140
2022-04-14 15:45:00,YC0052,m5Max,138
2022-04-14 16:00:00,YC0052,m5Max,136
2022-04-14 16:15:00,YC0052,m5Max,133
2022-04-14 16:30:00,YC0052,m5Max,133
2022-04-14 16:45:00,YC0052,m5Max,135
2022-04-14 17:00:00,YC0052,m5Max,133
2022-04-14 17:15:00,YC0052,m5Max,134
2022-04-14 17:30:00,YC0052,m5Max,134
2022-04-14 17:45:00,YC0052,m5Max,138
2022-04-14 18:00:00,YC0052,m5Max,139
2022-04-14 18:15:00,YC0052,m5Max,137
2022-04-14 18:30:00,YC0052,m5Max,139
2022-04-14 18:45:00,YC0052,m5Max,140
2022-04-14 19:00:00,YC0052,m5Max,143
2022-04-14 19:15:00,YC0052,m5Max,140
2022-04-14 19:30:00,YC0052,m5Max,137
2022-04-14 19:45:00,YC0052,m5Max,139
2022-04-14 20:00:00,YC0052,m5Max,138
2022-04-14 20:15:00,YC0052,m5Max,140
2022-04-14 20:30:00,YC0052,m5Max,139
2022-04-14 20:45:00,YC0052,m5Max,135
2022-04-14 21:00:00,YC0052,m5Max,129
2022-04-14 21:15:00,YC0052,m5Max,120
2022-04-14 21:30:00,YC0052,m5Max,115
2022-04-14 21:45:00,YC0052,m5Max,116
2022-04-14 22:00:00,YC0052,m5Max,120
2022-04-14 22:15:00,YC0052,m5Max,120
2022-04-14 22:30:00,YC0052,m5Max,120
2022-04-14 22:45:00,YC0052,m5Max,118
2022-04-14 23:00:00,YC0052,m5Max,118
2022-04-14 23:15:00,YC0052,m5Max,119
2022-04-14 23:30:00,YC0052,m5Max,119
2022-04-14 23:45:00,YC0052,m5Max,119
2022-04-15 00:00:00,YC0052,m5Max,114
2022-04-15 00:15:00,YC0052,m5Max,116
2022-04-15 00:30:00,YC0052,m5Max,118
2022-04-15 00:45:00,YC0052,m5Max,124
2022-04-15 01:00:00,YC0052,m5Max,123
2022-04-15 01:15:00,YC0052,m5Max,127
2022-04-15 01:30:00,YC0052,m5Max,128
2022-04-15 01:45:00,YC0052,m5Max,146
2022-04-15 02:00:00,YC0052,m5Max,153
2022-04-15 02:15:00,YC0052,m5Max,151
2022-04-15 02:30:00,YC0052,m5Max,157
2022-04-15 02:45:00,YC0052,m5Max,156
2022-04-15 03:00:00,YC0052,m5Max,155
2022-04-15 03:15:00,YC0052,m5Max,145
2022-04-15 03:30:00,YC0052,m5Max,141
2022-04-15 03:45:00,YC0052,m5Max,139
2022-04-15 04:00:00,YC0052,m5Max,135
2022-04-15 04:15:00,YC0052,m5Max,145
2022-04-15 04:30:00,YC0052,m5Max,156
2022-04-15 04:45:00,YC0052,m5Max,158
2022-04-15 05:00:00,YC0052,m5Max,173
2022-04-15 05:15:00,YC0052,m5Max,187
2022-04-15 05:30:00,YC0052,m5Max,187
2022-04-15 05:45:00,YC0052,m5Max,173
2022-04-15 06:00:00,YC0052,m5Max,173
2022-04-15 06:15:00,YC0052,m5Max,172
2022-04-15 06:30:00,YC0052,m5Max,172
2022-04-15 06:45:00,YC0052,m5Max,181
2022-04-15 07:00:00,YC0052,m5Max,201
2022-04-15 07:15:00,YC0052,m5Max,173
2022-04-15 07:30:00,YC0052,m5Max,186
2022-04-15 07:45:00,YC0052,m5Max,180
2022-04-15 08:00:00,YC0052,m5Max,184
2022-04-15 08:15:00,YC0052,m5Max,178
2022-04-15 08:30:00,YC0052,m5Max,148
2022-04-15 08:45:00,YC0052,m5Max,146
2022-04-15 09:00:00,YC0052,m5Max,142
2022-04-15 09:15:00,YC0052,m5Max,133
2022-04-15 09:30:00,YC0052,m5Max,127
2022-04-15 09:45:00,YC0052,m5Max,124
2022-04-15 10:00:00,YC0052,m5Max,123
2022-04-15 10:15:00,YC0052,m5Max,138
2022-04-15 10:30:00,YC0052,m5Max,145
2022-04-15 10:45:00,YC0052,m5Max,142
2022-04-15 11:00:00,YC0052,m5Max,147
2022-04-15 11:15:00,YC0052,m5Max,140
