date,OT
2022-04-14 10:00:00,135.0
2022-04-14 10:15:00,141.0
2022-04-14 10:30:00,147.0
2022-04-14 10:45:00,161.0
2022-04-14 11:00:00,158.0
2022-04-14 11:15:00,157.0
2022-04-14 11:30:00,153.0
2022-04-14 11:45:00,138.0
2022-04-14 12:00:00,138.0
2022-04-14 12:15:00,147.0
2022-04-14 12:30:00,146.0
2022-04-14 12:45:00,144.0
2022-04-14 13:00:00,135.0
2022-04-14 13:15:00,136.0
2022-04-14 13:30:00,134.0
2022-04-14 13:45:00,133.0
2022-04-14 14:00:00,136.0
2022-04-14 14:15:00,135.0
2022-04-14 14:30:00,137.0
2022-04-14 14:45:00,139.0
2022-04-14 15:00:00,140.0
2022-04-14 15:15:00,140.0
2022-04-14 15:30:00,140.0
2022-04-14 15:45:00,138.0
2022-04-14 16:00:00,136.0
2022-04-14 16:15:00,133.0
2022-04-14 16:30:00,133.0
2022-04-14 16:45:00,135.0
2022-04-14 17:00:00,133.0
2022-04-14 17:15:00,134.0
2022-04-14 17:30:00,134.0
2022-04-14 17:45:00,138.0
2022-04-14 18:00:00,139.0
2022-04-14 18:15:00,137.0
2022-04-14 18:30:00,139.0
2022-04-14 18:45:00,140.0
2022-04-14 19:00:00,143.0
2022-04-14 19:15:00,140.0
2022-04-14 19:30:00,137.0
2022-04-14 19:45:00,139.0
2022-04-14 20:00:00,138.0
2022-04-14 20:15:00,140.0
2022-04-14 20:30:00,139.0
2022-04-14 20:45:00,135.0
2022-04-14 21:00:00,129.0
2022-04-14 21:15:00,120.0
2022-04-14 21:30:00,115.0
2022-04-14 21:45:00,116.0
2022-04-14 22:00:00,120.0
2022-04-14 22:15:00,120.0
2022-04-14 22:30:00,120.0
2022-04-14 22:45:00,118.0
2022-04-14 23:00:00,118.0
2022-04-14 23:15:00,119.0
2022-04-14 23:30:00,119.0
2022-04-14 23:45:00,119.0
2022-04-15 00:00:00,114.0
2022-04-15 00:15:00,116.0
2022-04-15 00:30:00,118.0
2022-04-15 00:45:00,124.0
2022-04-15 01:00:00,123.0
2022-04-15 01:15:00,127.0
2022-04-15 01:30:00,128.0
2022-04-15 01:45:00,146.0
