date,0288ae776393eac1b8777d0956869e827da48fe38fffbe68ca81f1a5be6bbf52,04db7f85cb4e19ffbc88ad91860ed26e46c2c646614774dc6aaf23f0452c8184,OT
2020/8/3 0:00,341194,364230,705424
2020/8/3 1:00,185875,204775,390650
2020/8/3 2:00,117501,147994,265495
2020/8/3 3:00,83783,115923,199706
2020/8/3 4:00,72580,105420,178000
2020/8/3 5:00,137381,193084,330465
2020/8/3 6:00,357462,347246,704708
2020/8/3 7:00,647176,517734,1164910
2020/8/3 8:00,771195,592140,1363335
2020/8/3 9:00,736819,615034,1351853
2020/8/3 10:00,870394,646807,1517201
2020/8/3 11:00,1021232,700536,1721768
2020/8/3 12:00,1027886,686750,1714636
2020/8/3 13:00,688715,591934,1280649
2020/8/3 14:00,683614,581607,1265221
2020/8/3 15:00,705656,606691,1312347
2020/8/3 16:00,755851,603070,1358921
2020/8/3 17:00,932287,664347,1596634
2020/8/3 18:00,959348,638274,1597622
2020/8/3 19:00,862407,670127,1532534
2020/8/3 20:00,779524,655279,1434803
2020/8/3 21:00,686598,643398,1329996
2020/8/3 22:00,573901,512416,1086317
2020/8/3 23:00,463899,411823,875722
2020/8/9 0:00,389611,343973,733584
2020/8/9 1:00,197792,223741,421533
2020/8/9 2:00,126103,159678,285781
2020/8/9 3:00,103844,124432,228276
2020/8/9 4:00,73038,106359,179397
2020/8/9 5:00,126735,173628,300363
2020/8/9 6:00,306213,288676,594889
2020/8/9 7:00,527328,402505,929833
2020/8/9 8:00,670543,533439,1203982
2020/8/9 9:00,761859,605289,1367148
2020/8/9 10:00,883517,613846,1497363
2020/8/9 11:00,996028,626252,1622280
2020/8/9 12:00,970242,622327,1592569
2020/8/9 13:00,754944,589327,1344271
2020/8/9 14:00,701007,586988,1287995
2020/8/9 15:00,686390,581218,1267608
2020/8/9 16:00,784194,628763,1412957
2020/8/9 17:00,890766,671940,1562706
2020/8/9 18:00,909296,592812,1502108
2020/8/9 19:00,880943,661875,1542818
2020/8/9 20:00,825844,621325,1447169
2020/8/9 21:00,728819,565605,1294424
2020/8/9 22:00,609690,522259,1131949
2020/8/9 23:00,447556,435831,883387
2020/8/10 0:00,379466,324918,704384
2020/8/10 1:00,235393,207457,442850
2020/8/10 2:00,145757,149030,294787
2020/8/10 3:00,87544,115678,203222
2020/8/10 4:00,74284,104898,179182
2020/8/10 5:00,136025,180608,316633
2020/8/10 6:00,358803,325709,684512
2020/8/10 7:00,653210,476798,1130008
2020/8/10 8:00,782782,621764,1404546
2020/8/10 9:00,741566,673085,1414651
2020/8/10 10:00,819457,661146,1480603
2020/8/10 11:00,1002035,709181,1711216
2020/8/10 12:00,1088229,690886,1779115
2020/8/10 13:00,755109,610744,1365853
2020/8/10 14:00,736684,631979,1368663
2020/8/10 15:00,703685,642944,1346629
2020/8/10 16:00,797682,636086,1433768
2020/8/10 17:00,925601,708694,1634295
2020/8/10 18:00,966700,646086,1612786
2020/8/10 19:00,900329,706961,1607290
2020/8/10 20:00,848145,668561,1516706
2020/8/10 21:00,733611,609824,1343435
2020/8/10 22:00,612848,507028,1119876
2020/8/10 23:00,494012,413174,907186
2020/8/13 0:00,323899,322165,646064
2020/8/13 1:00,171953,199468,371421
2020/8/13 2:00,112802,146161,258963
2020/8/13 3:00,80700,115755,196455
2020/8/13 4:00,68460,102981,171441
2020/8/13 5:00,128069,180651,308720
2020/8/13 6:00,343471,317278,660749
2020/8/13 7:00,637635,460561,1098196
2020/8/13 8:00,740753,575092,1315845
2020/8/13 9:00,697922,602986,1300908
2020/8/13 10:00,775297,614800,1390097
2020/8/13 11:00,988732,672168,1660900
2020/8/13 12:00,1008706,625690,1634396
2020/8/13 13:00,690160,553909,1244069
2020/8/13 14:00,679121,504562,1183683
2020/8/13 15:00,658029,523919,1181948
2020/8/13 16:00,740223,586459,1326682
2020/8/13 17:00,911209,646231,1557440
2020/8/13 18:00,935543,634092,1569635
2020/8/13 19:00,860522,643969,1504491
2020/8/13 20:00,791846,620097,1411943
2020/8/13 21:00,692965,612115,1305080
2020/8/13 22:00,564439,485742,1050181
2020/8/13 23:00,422689,394854,817543
2020/8/14 0:00,339725,327367,667092
2020/8/14 1:00,175293,200577,375870
2020/8/14 2:00,111088,143649,254737
2020/8/14 3:00,83020,116257,199277
2020/8/14 4:00,67141,104904,172045
2020/8/14 5:00,135761,183966,319727
2020/8/14 6:00,350222,317326,667548
2020/8/14 7:00,642937,465103,1108040
2020/8/14 8:00,742268,557713,1299981
2020/8/14 9:00,704283,588619,1292902
2020/8/14 10:00,801858,646781,1448639
2020/8/14 11:00,998289,712019,1710308
2020/8/14 12:00,1041433,680066,1721499
2020/8/14 13:00,693332,591778,1285110
2020/8/14 14:00,639527,535131,1174658
2020/8/14 15:00,632834,548051,1180885
2020/8/14 16:00,750975,579869,1330844
2020/8/14 17:00,903802,641685,1545487
2020/8/14 18:00,939361,628208,1567569
2020/8/14 19:00,869765,658249,1528014
2020/8/14 20:00,792910,632784,1425694
2020/8/14 21:00,728575,637789,1366364
2020/8/14 22:00,587627,492761,1080388
2020/8/14 23:00,435499,407979,843478
2020/8/23 0:00,381945,334406,716351
2020/8/23 1:00,219694,218927,438621
2020/8/23 2:00,142772,159612,302384
2020/8/23 3:00,99226,128250,227476
2020/8/23 4:00,81768,111128,192896
2020/8/23 5:00,139605,177829,317434
2020/8/23 6:00,344905,284086,628991
2020/8/23 7:00,582731,409702,992433
2020/8/23 8:00,729532,511687,1241219
2020/8/23 9:00,810535,566842,1377377
2020/8/23 10:00,946850,589738,1536588
2020/8/23 11:00,1076680,620401,1697081
2020/8/23 12:00,1049933,618258,1668191
2020/8/23 13:00,821886,562850,1384736
2020/8/23 14:00,757445,531135,1288580
2020/8/23 15:00,750969,524729,1275698
2020/8/23 16:00,864818,585445,1450263
2020/8/23 17:00,955449,650448,1605897
2020/8/23 18:00,970572,620747,1591319
2020/8/23 19:00,905853,646867,1552720
2020/8/23 20:00,852094,637651,1489745
2020/8/23 21:00,750366,537501,1287867
2020/8/23 22:00,631075,483563,1114638
2020/8/23 23:00,467111,391246,858357
2020/8/24 0:00,368718,325726,694444
2020/8/24 1:00,195045,206404,401449
2020/8/24 2:00,123380,151736,275116
2020/8/24 3:00,88343,121101,209444
2020/8/24 4:00,78043,106108,184151
2020/8/24 5:00,138368,180341,318709
2020/8/24 6:00,382191,317635,699826
2020/8/24 7:00,673414,481366,1154780
2020/8/24 8:00,798060,570281,1368341
2020/8/24 9:00,761088,589699,1350787
2020/8/24 10:00,881826,658336,1540162
2020/8/24 11:00,1064387,712921,1777308
2020/8/24 12:00,1107235,667898,1775133
2020/8/24 13:00,771465,573058,1344523
2020/8/24 14:00,708362,543355,1251717
2020/8/24 15:00,697347,552694,1250041
2020/8/24 16:00,803697,594227,1397924
2020/8/24 17:00,956440,652940,1609380
2020/8/24 18:00,995838,638889,1634727
2020/8/24 19:00,932202,672316,1604518
2020/8/24 20:00,865162,666772,1531934
2020/8/24 21:00,753897,580732,1334629
2020/8/24 22:00,639431,507030,1146461
2020/8/24 23:00,498620,411058,909678
2020/8/27 0:00,334789,377174,711963
2020/8/27 1:00,188314,248896,437210
2020/8/27 2:00,117869,178294,296163
2020/8/27 3:00,86916,151549,238465
2020/8/27 4:00,68590,138696,207286
2020/8/27 5:00,130847,217139,347986
2020/8/27 6:00,357467,364739,722206
2020/8/27 7:00,649894,524164,1174058
2020/8/27 8:00,779563,613698,1393261
2020/8/27 9:00,720618,634868,1355486
2020/8/27 10:00,805931,678620,1484551
2020/8/27 11:00,954247,723275,1677522
2020/8/27 12:00,970781,729826,1700607
2020/8/27 13:00,666600,641209,1307809
2020/8/27 14:00,635635,609739,1245374
2020/8/27 15:00,658630,620074,1278704
2020/8/27 16:00,767005,656212,1423217
2020/8/27 17:00,907394,722682,1630076
2020/8/27 18:00,939476,706854,1646330
2020/8/27 19:00,853153,734495,1587648
2020/8/27 20:00,778494,718364,1496858
2020/8/27 21:00,678677,641701,1320378
2020/8/27 22:00,617094,570225,1187319
2020/8/27 23:00,485407,470594,956001
2020/8/29 0:00,350121,375695,725816
2020/8/29 1:00,192308,248514,440822
2020/8/29 2:00,123901,183143,307044
2020/8/29 3:00,91683,153886,245569
2020/8/29 4:00,70649,138329,208978
2020/8/29 5:00,125673,209742,335415
2020/8/29 6:00,338630,328860,667490
2020/8/29 7:00,581687,476758,1058445
2020/8/29 8:00,690345,551529,1241874
2020/8/29 9:00,738265,602062,1340327
2020/8/29 10:00,875676,661140,1536816
2020/8/29 11:00,1015533,709132,1724665
2020/8/29 12:00,1011579,674008,1685587
2020/8/29 13:00,772760,606014,1378774
2020/8/29 14:00,699121,566204,1265325
2020/8/29 15:00,693583,603932,1297515
2020/8/29 16:00,784615,607326,1391941
2020/8/29 17:00,897354,667092,1564446
2020/8/29 18:00,906476,650393,1556869
2020/8/29 19:00,856939,676863,1533802
2020/8/29 20:00,799055,665757,1464812
2020/8/29 21:00,711467,578184,1289651
2020/8/29 22:00,599752,531928,1131680
2020/8/29 23:00,443709,442281,885990
2020/9/5 0:00,361475,383034,744509
2020/9/5 1:00,191009,236794,427803
2020/9/5 2:00,122686,178153,300839
2020/9/5 3:00,93531,147770,241301
2020/9/5 4:00,75739,142998,218737
2020/9/5 5:00,144796,221351,366147
2020/9/5 6:00,398444,365148,763592
2020/9/5 7:00,701387,530416,1231803
2020/9/5 8:00,805994,927662,1733656
2020/9/5 9:00,833545,945107,1778652
2020/9/5 10:00,1030493,690884,1721377
2020/9/5 11:00,1198836,727465,1926301
2020/9/5 12:00,1185452,723350,1908802
2020/9/5 13:00,889629,641298,1530927
2020/9/5 14:00,819771,602161,1421932
2020/9/5 15:00,802800,596316,1399116
2020/9/5 16:00,928999,636641,1565640
2020/9/5 17:00,1085496,703376,1788872
2020/9/5 18:00,1094033,663859,1757892
2020/9/5 19:00,988140,713298,1701438
2020/9/5 20:00,950474,693684,1644158
2020/9/5 21:00,851601,604100,1455701
2020/9/5 22:00,689751,538345,1228096
2020/9/5 23:00,511284,435804,947088
2020/9/7 2:00,342877,174752,517629
2020/9/7 3:00,176852,145093,321945
2020/9/7 5:00,110597,236625,347222
2020/9/7 6:00,82030,408641,490671
2020/9/7 11:00,70696,922797,993493
2020/9/7 12:00,147109,926155,1073264
2020/9/7 13:00,454723,630062,1084785
2020/9/7 14:00,860004,605407,1465411
2020/9/7 17:00,889743,745364,1635107
2020/9/7 21:00,793222,614569,1407791
2020/9/7 22:00,902764,565423,1468187
2020/9/7 23:00,1188038,456048,1644086
2020/9/8 0:00,1212417,396161,1608578
2020/9/8 1:00,823871,249340,1073211
2020/9/8 2:00,836435,185187,1021622
2020/9/8 3:00,808484,152565,961049
2020/9/8 4:00,920708,147847,1068555
2020/9/8 5:00,1166208,236051,1402259
2020/9/8 6:00,1233574,408516,1642090
2020/9/8 7:00,1065872,583056,1648928
2020/9/8 8:00,932524,653288,1585812
2020/9/8 9:00,833919,683890,1517809
2020/9/8 10:00,642752,683824,1326576
2020/9/8 11:00,495623,748736,1244359
2020/9/8 12:00,491657,743287,1234944
2020/9/8 13:00,234396,640403,874799
2020/9/8 14:00,131397,636590,767987
2020/9/8 15:00,91083,631301,722384
2020/9/8 16:00,78579,686772,765351
2020/9/8 17:00,164143,757084,921227
2020/9/8 18:00,485077,740188,1225265
2020/9/8 19:00,906811,773337,1680148
2020/9/8 20:00,952507,730190,1682697
2020/9/8 21:00,837412,642781,1480193
2020/9/8 22:00,978220,570000,1548220
2020/9/8 23:00,1248135,470786,1718921
2020/9/9 0:00,1294258,375931,1670189
2020/9/9 1:00,886908,259154,1146062
2020/9/9 2:00,857365,204458,1061823
2020/9/9 3:00,815537,165012,980549
2020/9/9 4:00,968938,156268,1125206
2020/9/9 5:00,1155319,241748,1397067
2020/9/9 6:00,1198755,408892,1607647
2020/9/9 7:00,1076783,589814,1666597
2020/9/9 8:00,973180,700035,1673215
2020/9/9 9:00,847223,717984,1565207
2020/9/9 10:00,719257,714640,1433897
2020/9/9 11:00,532545,768987,1301532
2020/9/9 12:00,414894,778557,1193451
2020/9/9 13:00,232356,664831,897187
2020/9/9 14:00,194301,710125,904426
2020/9/9 15:00,96507,693259,789766
2020/9/9 16:00,166078,753324,919402
2020/9/9 17:00,179435,830692,1010127
2020/9/9 18:00,382462,747344,1129806
2020/9/9 19:00,686623,777421,1464044
2020/9/9 20:00,812896,731426,1544322
2020/9/9 21:00,861134,651707,1512841
2020/9/9 22:00,925265,598506,1523771
2020/9/9 23:00,1223274,480249,1703523
2020/9/26 0:00,1148595,336121,1484716
2020/9/26 1:00,900068,232403,1132471
2020/9/26 2:00,828860,172946,1001806
2020/9/26 3:00,855543,144907,1000450
2020/9/26 4:00,983055,140173,1123228
2020/9/26 5:00,1112244,192723,1304967
2020/9/26 6:00,1070757,314108,1384865
2020/9/26 7:00,978454,429186,1407640
2020/9/26 8:00,855422,512357,1367779
2020/9/26 9:00,776903,540939,1317842
2020/9/26 10:00,656259,555041,1211300
2020/9/26 11:00,425464,663997,1089461
2020/9/26 12:00,396319,614299,1010618
2020/9/26 13:00,208228,559749,767977
2020/9/26 14:00,124787,551285,676072
2020/9/26 15:00,88290,515100,603390
2020/9/26 16:00,73360,587033,660393
2020/9/26 17:00,137527,657064,794591
2020/9/26 18:00,422026,604847,1026873
2020/9/26 19:00,774320,646561,1420881
2020/9/26 20:00,863155,596163,1459318
2020/9/26 21:00,800049,520950,1320999
2020/9/26 22:00,956269,460892,1417161
2020/9/26 23:00,1013295,342542,1355837
2020/9/27 0:00,894011,330644,1224655
2020/9/27 1:00,781331,231685,1013016
2020/9/27 2:00,808376,160745,969121
2020/9/27 3:00,958908,140778,1099686
2020/9/27 4:00,1125062,129683,1254745
2020/9/27 5:00,1263219,205168,1468387
2020/9/27 6:00,1433890,337768,1771658
2020/9/27 7:00,977204,473812,1451016
2020/9/27 8:00,949283,537799,1487082
2020/9/27 9:00,711945,539775,1251720
2020/9/27 10:00,517890,588681,1106571
2020/9/27 11:00,361286,598585,959871
2020/9/27 13:00,353419,562078,915497
2020/9/27 14:00,180001,512846,692847
2020/9/27 15:00,135012,508895,643907
2020/9/27 16:00,141429,604843,746272
2020/9/27 17:00,134097,671042,805139
2020/9/27 18:00,179358,668839,848197
2020/9/27 19:00,394210,675060,1069270
2020/9/27 20:00,712585,652971,1365556
2020/9/27 21:00,761740,613150,1374890
2020/9/27 22:00,718725,504142,1222867
2020/9/27 23:00,811263,414217,1225480
2020/9/28 0:00,1054789,337442,1392231
2020/9/29 0:00,1116165,343672,1459837
2020/9/29 1:00,759413,223341,982754
2020/9/29 2:00,686225,165323,851548
2020/9/29 3:00,713765,140834,854599
2020/9/29 4:00,819220,131382,950602
2020/9/29 5:00,957407,217600,1175007
2020/9/29 6:00,995885,376890,1372775
2020/9/29 7:00,879534,523352,1402886
2020/9/29 8:00,838056,581167,1419223
2020/9/29 9:00,745875,582632,1328507
2020/9/29 10:00,653079,628216,1281295
2020/9/29 11:00,493340,677599,1170939
2020/9/29 12:00,337865,692019,1029884
2020/9/29 13:00,190502,564637,755139
2020/9/29 14:00,124218,539226,663444
2020/9/29 15:00,86475,548328,634803
2020/9/29 16:00,72569,619544,692113
2020/9/29 17:00,105179,696316,801495
2020/9/29 18:00,266445,667968,934413
2020/9/29 19:00,459983,696260,1156243
2020/9/29 20:00,647513,657495,1305008
2020/9/29 21:00,724069,567056,1291125
2020/9/29 22:00,840701,523075,1363776
2020/9/29 23:00,964135,430131,1394266
2020/10/2 0:00,933279,341014,1274293
2020/10/2 1:00,758838,248390,1007228
2020/10/2 2:00,738043,176853,914896
2020/10/2 3:00,765429,142331,907760
2020/10/2 4:00,833826,131237,965063
2020/10/2 5:00,883397,187343,1070740
2020/10/2 6:00,862555,301565,1164120
2020/10/2 7:00,749253,399725,1148978
2020/10/2 8:00,747425,495745,1243170
2020/10/2 9:00,684701,559191,1243892
2020/10/2 10:00,583954,597489,1181443
2020/10/2 11:00,445526,641399,1086925
