date,OT
2022/4/1 0:00,480
2022/4/1 0:05,504
2022/4/1 0:10,512
2022/4/1 0:15,484
2022/4/1 0:20,484
2022/4/1 0:25,516
2022/4/1 0:30,500
2022/4/1 0:35,512
2022/4/1 0:40,512
2022/4/1 0:45,548
2022/4/1 0:50,548
2022/4/1 0:55,528
2022/4/1 1:00,520
2022/4/1 1:05,524
2022/4/1 1:10,528
2022/4/1 1:15,492
2022/4/1 1:20,488
2022/4/1 1:25,504
2022/4/1 1:30,524
2022/4/1 1:35,492
2022/4/1 1:40,500
2022/4/1 1:45,528
2022/4/1 1:50,588
2022/4/1 1:55,552
2022/4/1 2:00,564
2022/4/1 2:05,540
2022/4/1 2:10,540
2022/4/1 2:15,540
2022/4/1 2:20,548
2022/4/1 2:25,528
2022/4/1 2:30,528
2022/4/1 2:35,544
2022/4/1 2:40,544
2022/4/1 2:45,504
2022/4/1 2:50,500
2022/4/1 2:55,528
2022/4/1 3:00,532
2022/4/1 3:05,564
2022/4/1 3:10,564
2022/4/1 3:15,524
2022/4/1 3:20,512
2022/4/1 3:25,528
2022/4/1 3:30,532
2022/4/1 3:35,536
2022/4/1 3:40,508
2022/4/1 3:45,468
2022/4/1 3:50,488
2022/4/1 3:55,496
2022/4/1 4:00,504
2022/4/1 4:05,512
2022/4/1 4:10,504
2022/4/1 4:15,516
2022/4/1 4:20,512
2022/4/1 4:25,524
2022/4/1 4:30,532
2022/4/1 4:35,496
2022/4/1 4:40,496
2022/4/1 4:45,508
2022/4/1 4:50,508
2022/4/1 4:55,528
2022/4/1 5:00,516
2022/4/1 5:05,512
2022/4/1 5:10,512
2022/4/1 5:15,528
2022/4/1 5:20,516
2022/4/1 5:25,544
2022/4/1 5:30,556
2022/4/1 5:35,524
2022/4/1 5:40,508
2022/4/1 5:45,508
2022/4/1 5:50,512
2022/4/1 5:55,504
2022/4/1 6:00,496
2022/4/1 6:05,496
2022/4/1 6:10,496
2022/4/1 6:15,496
2022/4/1 6:20,464
2022/4/1 6:25,488
2022/4/1 6:30,456
2022/4/1 6:35,448
2022/4/1 6:40,452
2022/4/1 6:45,472
2022/4/1 6:50,472
2022/4/1 6:55,468
2022/4/1 7:00,448
2022/4/1 7:05,476
2022/4/1 7:10,492
2022/4/1 7:15,464
2022/4/1 7:20,464
2022/4/1 7:25,472
2022/4/1 7:30,432
2022/4/1 7:35,440
2022/4/1 7:40,464
2022/4/1 7:45,448
2022/4/1 7:50,440
2022/4/1 7:55,440
2022/4/1 8:00,420
2022/4/1 8:05,420
2022/4/1 8:10,388
2022/4/1 8:15,384
2022/4/1 8:20,392
2022/4/1 8:25,408
2022/4/1 8:30,408
2022/4/1 8:35,380
2022/4/1 8:40,404
2022/4/1 8:45,420
2022/4/1 8:50,400
2022/4/1 8:55,400
2022/4/1 9:00,396
2022/4/1 9:05,416
2022/4/1 9:10,380
2022/4/1 9:15,396
2022/4/1 9:20,408
2022/4/1 9:25,416
2022/4/1 9:30,416
2022/4/1 9:35,412
2022/4/1 9:40,400
2022/4/1 9:45,388
2022/4/1 9:50,384
2022/4/1 9:55,416
2022/4/1 10:00,388
2022/4/1 10:05,384
2022/4/1 10:10,388
2022/4/1 10:15,388
2022/4/1 10:20,392
2022/4/1 10:25,420
2022/4/1 10:30,404
2022/4/1 10:35,396
2022/4/1 10:40,384
2022/4/1 10:45,372
2022/4/1 10:50,400
2022/4/1 10:55,400
2022/4/1 11:00,396
2022/4/1 11:05,388
2022/4/1 11:10,372
2022/4/1 11:15,400
2022/4/1 11:20,400
2022/4/1 11:25,364
2022/4/1 11:30,364
2022/4/1 11:35,388
2022/4/1 11:40,372
2022/4/1 11:45,364
2022/4/1 11:50,356
2022/4/1 11:55,360
2022/4/1 12:00,372
2022/4/1 12:05,380
2022/4/1 12:10,372
2022/4/1 12:15,372
2022/4/1 12:20,380
2022/4/1 12:25,400
2022/4/1 12:30,400
2022/4/1 12:35,384
2022/4/1 12:40,384
2022/4/1 12:45,384
2022/4/1 12:50,408
2022/4/1 12:55,392
2022/4/1 13:00,368
2022/4/1 13:05,376
2022/4/1 13:10,360
2022/4/1 13:15,344
2022/4/1 13:20,340
2022/4/1 13:25,364
2022/4/1 13:30,352
2022/4/1 13:35,356
2022/4/1 13:40,356
2022/4/1 13:45,352
2022/4/1 13:50,348
2022/4/1 13:55,348
2022/4/1 14:00,352
2022/4/1 14:05,336
2022/4/1 14:10,328
2022/4/1 14:15,328
2022/4/1 14:20,344
2022/4/1 14:25,344
2022/4/1 14:30,320
2022/4/1 14:35,352
2022/4/1 14:40,356
2022/4/1 14:45,368
2022/4/1 14:50,368
2022/4/1 14:55,364
2022/4/1 15:00,340
2022/4/1 15:05,324
2022/4/1 15:10,328
2022/4/1 15:15,324
2022/4/1 15:20,336
2022/4/1 15:25,320
2022/4/1 15:30,336
2022/4/1 15:35,324
2022/4/1 15:40,332
2022/4/1 15:45,340
2022/4/1 15:50,348
2022/4/1 15:55,348
2022/4/1 16:00,376
2022/4/1 16:05,352
2022/4/1 16:10,344
2022/4/1 16:15,340
2022/4/1 16:20,356
2022/4/1 16:25,328
2022/4/1 16:30,328
2022/4/1 16:35,348
2022/4/1 16:40,348
2022/4/1 16:45,348
2022/4/1 16:50,352
2022/4/1 16:55,332
2022/4/1 17:00,328
2022/4/1 17:05,376
2022/4/1 17:10,364
2022/4/1 17:15,352
2022/4/1 17:20,360
2022/4/1 17:25,344
2022/4/1 17:30,340
2022/4/1 17:35,328
2022/4/1 17:40,332
2022/4/1 17:45,332
2022/4/1 17:50,348
2022/4/1 17:55,328
2022/4/1 18:00,356
2022/4/1 18:05,356
2022/4/1 18:10,340
2022/4/1 18:15,352
2022/4/1 18:20,340
2022/4/1 18:25,344
2022/4/1 18:30,328
2022/4/1 18:35,328
2022/4/1 18:40,324
2022/4/1 18:45,324
2022/4/1 18:50,320
2022/4/1 18:55,320
2022/4/1 19:00,308
2022/4/1 19:05,308
2022/4/1 19:10,324
2022/4/1 19:15,344
2022/4/1 19:20,352
2022/4/1 19:25,352
2022/4/1 19:30,348
2022/4/1 19:35,360
2022/4/1 19:40,356
2022/4/1 19:45,388
2022/4/1 19:50,348
2022/4/1 19:55,348
2022/4/1 20:00,352
2022/4/1 20:05,328
2022/4/1 20:10,328
2022/4/1 20:15,336
2022/4/1 20:20,364
2022/4/1 20:25,364
2022/4/1 20:30,356
2022/4/1 20:35,356
2022/4/1 20:40,344
2022/4/1 20:45,328
2022/4/1 20:50,340
2022/4/1 20:55,328
2022/4/1 21:00,308
2022/4/1 21:05,344
2022/4/1 21:10,400
2022/4/1 21:15,372
2022/4/1 21:20,372
2022/4/1 21:25,356
2022/4/1 21:30,372
2022/4/1 21:35,372
2022/4/1 21:40,360
2022/4/1 21:45,368
2022/4/1 21:50,388
2022/4/1 21:55,388
2022/4/1 22:00,392
2022/4/1 22:05,392
2022/4/1 22:10,376
2022/4/1 22:15,392
2022/4/1 22:20,392
2022/4/1 22:25,388
2022/4/1 22:30,364
2022/4/1 22:35,376
2022/4/1 22:40,384
2022/4/1 22:45,384
2022/4/1 22:50,368
2022/4/1 22:55,372
2022/4/1 23:00,484
2022/4/1 23:05,484
2022/4/1 23:10,476
2022/4/1 23:15,488
2022/4/1 23:20,488
2022/4/1 23:25,456
2022/4/1 23:30,456
2022/4/1 23:35,436
2022/4/1 23:40,492
2022/4/1 23:45,500
2022/4/1 23:50,548
2022/4/1 23:55,548
2022/4/2 0:00,488
2022/4/2 0:05,488
2022/4/2 0:10,552
2022/4/2 0:15,492
2022/4/2 0:20,544
2022/4/2 0:25,544
2022/4/2 0:30,512
2022/4/2 0:35,516
2022/4/2 0:40,548
2022/4/2 0:45,548
2022/4/2 0:50,504
2022/4/2 0:55,540
2022/4/2 1:00,508
2022/4/2 1:05,500
2022/4/2 1:10,484
2022/4/2 1:15,508
2022/4/2 1:20,484
2022/4/2 1:25,536
2022/4/2 1:30,540
2022/4/2 1:35,540
2022/4/2 1:40,564
2022/4/2 1:45,564
2022/4/2 1:50,540
2022/4/2 1:55,528
2022/4/2 2:00,516
2022/4/2 2:05,528
2022/4/2 2:10,564
2022/4/2 2:15,576
2022/4/2 2:20,576
2022/4/2 2:25,496
2022/4/2 2:30,580
2022/4/2 2:35,548
2022/4/2 2:40,536
2022/4/2 2:45,536
2022/4/2 2:50,528
2022/4/2 2:55,528
2022/4/2 3:00,548
2022/4/2 3:05,548
2022/4/2 3:10,556
2022/4/2 3:15,564
2022/4/2 3:20,564
2022/4/2 3:25,584
2022/4/2 3:30,532
2022/4/2 3:35,548
2022/4/2 3:40,564
2022/4/2 3:45,508
2022/4/2 3:50,564
2022/4/2 3:55,564
2022/4/2 4:00,552
2022/4/2 4:05,536
2022/4/2 4:10,588
2022/4/2 4:15,540
2022/4/2 4:20,556
2022/4/2 4:25,552
2022/4/2 4:30,576
2022/4/2 4:35,576
2022/4/2 4:40,548
2022/4/2 4:45,596
2022/4/2 4:50,572
2022/4/2 4:55,548
2022/4/2 5:00,568
2022/4/2 5:05,552
2022/4/2 5:10,544
2022/4/2 5:15,580
2022/4/2 5:20,580
2022/4/2 5:25,552
2022/4/2 5:30,580
2022/4/2 5:35,588
2022/4/2 5:40,584
2022/4/2 5:45,544
2022/4/2 5:50,536
2022/4/2 5:55,520
2022/4/2 6:00,572
2022/4/2 6:05,540
