date,OT
2022/4/14 10:00,135
2022/4/14 10:05,136
2022/4/14 10:10,141
2022/4/14 10:15,141
2022/4/14 10:20,141
2022/4/14 10:25,142
2022/4/14 10:30,147
2022/4/14 10:35,157
2022/4/14 10:40,157
2022/4/14 10:45,161
2022/4/14 10:50,161
2022/4/14 10:55,161
2022/4/14 11:00,158
2022/4/14 11:05,155
2022/4/14 11:10,157
2022/4/14 11:15,157
2022/4/14 11:20,155
2022/4/14 11:25,155
2022/4/14 11:30,153
2022/4/14 11:35,144
2022/4/14 11:40,138
2022/4/14 11:45,138
2022/4/14 11:50,138
2022/4/14 11:55,137
2022/4/14 12:00,138
2022/4/14 12:05,142
2022/4/14 12:10,144
2022/4/14 12:15,147
2022/4/14 12:20,146
2022/4/14 12:25,147
2022/4/14 12:30,146
2022/4/14 12:35,145
2022/4/14 12:40,143
2022/4/14 12:45,144
2022/4/14 12:50,140
2022/4/14 12:55,136
2022/4/14 13:00,135
2022/4/14 13:05,134
2022/4/14 13:10,136
2022/4/14 13:15,136
2022/4/14 13:20,135
2022/4/14 13:25,135
2022/4/14 13:30,134
2022/4/14 13:35,134
2022/4/14 13:40,132
2022/4/14 13:45,133
2022/4/14 13:50,134
2022/4/14 13:55,133
2022/4/14 14:00,136
2022/4/14 14:05,136
2022/4/14 14:10,132
2022/4/14 14:15,135
2022/4/14 14:20,133
2022/4/14 14:25,134
2022/4/14 14:30,137
2022/4/14 14:35,138
2022/4/14 14:40,137
2022/4/14 14:45,139
2022/4/14 14:50,139
2022/4/14 14:55,139
2022/4/14 15:00,140
2022/4/14 15:05,140
2022/4/14 15:10,140
2022/4/14 15:15,140
2022/4/14 15:20,140
2022/4/14 15:25,140
2022/4/14 15:30,140
2022/4/14 15:35,137
2022/4/14 15:40,138
2022/4/14 15:45,138
2022/4/14 15:50,140
2022/4/14 15:55,136
2022/4/14 16:00,136
2022/4/14 16:05,135
2022/4/14 16:10,134
2022/4/14 16:15,133
2022/4/14 16:20,134
2022/4/14 16:25,133
2022/4/14 16:30,133
2022/4/14 16:35,134
2022/4/14 16:40,133
2022/4/14 16:45,135
2022/4/14 16:50,135
2022/4/14 16:55,134
2022/4/14 17:00,133
2022/4/14 17:05,133
2022/4/14 17:10,134
2022/4/14 17:15,134
2022/4/14 17:20,134
2022/4/14 17:25,134
2022/4/14 17:30,134
2022/4/14 17:35,132
2022/4/14 17:40,138
2022/4/14 17:45,138
2022/4/14 17:50,139
2022/4/14 17:55,139
2022/4/14 18:00,139
2022/4/14 18:05,138
2022/4/14 18:10,136
2022/4/14 18:15,137
